Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-June-2019,308.00,311.80,305.40,311.10,308.144116063707326571,698444,1264,215221409.00,628321,89.96,6.40,3.10
19-June-2019,310.00,310.95,305.00,307.90,306.132468945603834593,939239,2756,287531554.00,787842,83.88,5.95,-2.10
18-June-2019,305.20,308.75,304.25,308.05,307.469754289720850316,129787,1996,39905577.00,69996,53.93,4.50,2.85
17-June-2019,309.85,309.85,303.00,305.90,305.380301340949337276,167717,1855,51217468.00,85023,50.69,6.85,-3.95
14-June-2019,308.30,311.50,307.90,308.70,309.317117440561672251,150408,2042,46523769.00,66010,43.89,3.60,0.40
13-June-2019,311.00,312.10,307.25,308.15,308.925527477629911778,127067,1767,39254240.00,38628,30.40,4.85,-2.85
12-June-2019,307.50,312.30,306.00,310.25,310.000004591304986616,217803,2739,67518931.00,60041,27.57,6.30,2.75
11-June-2019,308.15,311.85,303.00,306.10,306.599945017533652785,312827,4360,95912741.00,79280,25.34,8.85,-2.05
10-June-2019,319.00,319.00,306.90,307.85,310.073950069421587654,264327,3883,81960917.00,105088,39.76,12.10,-11.15
7-June-2019,317.40,320.30,307.75,313.70,313.290213750391594573,705449,7023,221010268.00,284017,40.26,12.55,-3.70
6-June-2019,338.95,338.95,315.00,316.30,323.401349483685115715,1681532,19988,543809718.00,447910,26.64,23.95,-22.65
4-June-2019,358.00,360.25,355.50,358.50,358.099702117381853312,62105,1156,22239782.00,22273,35.86,4.75,0.50
3-June-2019,362.00,365.00,355.30,358.00,360.468071384479311583,108539,1357,39124844.00,30380,27.99,9.70,-4.00
31-May-2019,360.00,363.00,356.80,361.25,360.263075246763235482,93612,1741,33724947.00,29274,31.27,6.20,1.25
30-May-2019,355.00,361.30,353.70,359.35,354.518260171830940967,877374,2182,311045104.00,31099,3.54,7.60,4.35
29-May-2019,350.00,361.80,349.75,354.45,356.889550969956007103,383471,4981,136856793.00,96991,25.29,12.05,4.45
28-May-2019,353.10,354.50,345.85,349.30,350.221146726862302483,221500,2946,77573984.00,72839,32.88,8.65,-3.80
27-May-2019,345.20,350.65,342.00,348.35,346.832471219461374173,383940,3759,133162859.00,79381,20.68,8.65,3.15
24-May-2019,338.00,342.00,335.40,341.10,339.188950094848971253,54824,807,18595695.00,8933,16.29,6.60,3.10
23-May-2019,340.55,342.50,336.05,337.30,339.538371552925390080,58129,960,19737026.00,16998,29.24,6.45,-3.25
22-May-2019,339.00,341.95,334.95,337.90,338.071702453987730061,73024,1354,24687348.00,15992,21.90,7.00,-1.10
21-May-2019,352.40,352.40,335.00,338.85,341.100836655990587620,152990,2032,52185017.00,45407,29.68,17.40,-13.55
20-May-2019,340.25,349.00,339.05,344.40,343.534924532280902599,132772,1028,45611819.00,52216,39.33,9.95,4.15
17-May-2019,329.70,335.00,329.70,332.95,332.873751412774536457,32737,438,10897288.00,9345,28.55,5.30,3.25
16-May-2019,331.50,334.25,326.65,329.80,328.408728836898220397,381265,931,125210754.00,302840,79.43,7.60,-1.70
15-May-2019,343.30,349.00,330.90,331.70,339.888496724644228597,70832,1030,24074982.00,16389,23.14,18.10,-11.60
14-May-2019,333.00,345.70,330.20,343.15,339.246666497022749249,78596,1095,26663431.00,11564,14.71,15.50,10.15
13-May-2019,340.00,342.75,330.55,331.85,336.713666228646517739,38050,883,12811955.00,8856,23.27,12.20,-8.15
10-May-2019,340.00,343.50,338.70,340.85,341.053492910107974502,38435,543,13108391.00,6442,16.76,4.80,0.85
9-May-2019,337.95,340.95,333.50,339.60,337.446819443017161648,38924,701,13134780.00,8469,21.76,7.45,1.65
8-May-2019,340.00,344.85,335.25,337.80,339.821434815548691648,51477,1657,17492988.00,9836,19.11,9.60,-2.20
7-May-2019,348.45,348.70,340.10,340.95,342.267239914352717262,58846,1536,20141058.00,6533,11.10,8.60,-7.50
6-May-2019,342.10,348.80,341.20,346.65,345.465874614384417306,39223,766,13550208.00,12390,31.59,7.60,4.55
3-May-2019,347.40,350.85,342.45,345.10,345.825860145860145860,58275,1736,20153002.00,13904,23.86,8.40,-2.30
2-May-2019,356.80,356.80,346.30,347.40,349.454749739172306786,37381,1510,13062968.00,11062,29.59,10.50,-9.40
30-April-2019,351.90,356.70,348.50,355.65,352.273125202900119034,184820,2923,65107119.00,54520,29.50,8.20,3.75
26-April-2019,344.25,355.60,340.05,353.05,351.182556661082968374,99098,1592,34801489.00,21795,21.99,15.55,8.80
25-April-2019,345.05,350.00,342.00,344.35,344.961917023835741754,59029,1067,20362757.00,16489,27.93,8.00,-0.70
24-April-2019,341.00,347.50,339.95,345.55,344.139400959788184676,120860,2573,41592688.00,41499,34.34,7.55,4.55
23-April-2019,340.00,340.40,332.05,339.35,336.518787578694206691,141370,2502,47573661.00,21219,15.01,8.35,-0.65
22-April-2019,351.70,352.90,342.50,344.45,345.816732233059428757,42959,1158,14855941.00,7850,18.27,10.40,-7.25
18-April-2019,355.00,355.00,348.65,351.95,351.729712793733681462,28725,527,10103436.00,6243,21.73,6.35,-3.05
16-April-2019,354.90,358.00,350.50,352.10,354.447768814459307668,58758,984,20826642.00,16591,28.24,7.50,-2.80
15-April-2019,355.00,358.20,351.50,353.40,354.532513791755353807,46042,735,16323386.00,5309,11.53,6.70,-1.60
12-April-2019,342.50,357.65,342.50,355.60,352.778354695782894216,202224,3288,71340250.00,41184,20.37,15.15,13.10
11-April-2019,338.50,343.50,338.30,342.55,341.499296115437068320,45462,738,15525241.00,18298,40.25,5.20,4.05
10-April-2019,341.70,344.40,335.80,337.50,339.122939529924023637,67521,1124,22897920.00,28760,42.59,8.60,-4.20
9-April-2019,340.25,344.80,336.45,343.70,340.523203977237709801,48677,857,16575648.00,12086,24.83,8.35,3.45
8-April-2019,349.75,350.50,340.20,341.70,343.679000959891588714,53131,760,18260009.00,23117,43.51,10.30,-8.05
